claim_id,policy_id,claimant_id,claim_date,policy_start_date,claim_amount,policy_limit,claim_type,provider_id,previous_claims_count,days_since_last_claim,claimant_age,claimant_region,is_homeowner,outcome,flag_reason
IC-001,POL-101,CLT-001,2024-02-15,2023-01-10,4500,50000,auto_collision,PRV-010,0,,35,south_east,yes,approved,
IC-002,POL-102,CLT-002,2024-01-20,2024-01-05,12000,15000,property_fire,PRV-011,0,,42,north_west,yes,flagged,early_claim
IC-003,POL-103,CLT-003,2024-03-01,2022-06-15,2500,30000,auto_collision,PRV-010,1,180,28,london,no,approved,
IC-004,POL-104,CLT-004,2024-02-28,2023-09-01,55000,50000,property_flood,PRV-012,0,,51,south_west,yes,denied,exceeds_policy_limit
IC-005,POL-105,CLT-005,2024-03-10,2023-03-15,8000,40000,auto_theft,PRV-013,2,45,38,midlands,yes,approved,
IC-006,POL-106,CLT-006,2024-03-15,2024-02-20,18000,25000,property_fire,PRV-011,0,,33,north_east,no,flagged,early_claim
IC-007,POL-107,CLT-007,2024-04-01,2021-11-01,3200,30000,auto_collision,PRV-014,0,,47,scotland,yes,approved,
IC-008,POL-108,CLT-008,2024-04-05,2023-04-10,7500,20000,medical,PRV-015,3,22,29,london,no,flagged,high_frequency
IC-009,POL-109,CLT-009,2024-04-12,2022-08-20,15000,60000,property_theft,PRV-016,1,300,55,south_east,yes,approved,
IC-010,POL-110,CLT-010,2024-04-18,2024-03-25,9500,10000,auto_collision,PRV-010,0,,24,midlands,no,flagged,early_claim
IC-011,POL-101,CLT-001,2024-04-20,2023-01-10,6000,50000,auto_collision,PRV-010,1,65,35,south_east,yes,approved,
IC-012,POL-111,CLT-011,2024-05-01,2023-07-01,22000,20000,property_fire,PRV-011,1,200,60,wales,yes,denied,exceeds_policy_limit
IC-013,POL-112,CLT-012,2024-05-05,2022-01-15,4800,35000,auto_collision,PRV-017,0,,31,north_west,no,approved,
IC-014,POL-113,CLT-013,2024-05-10,2023-12-01,28000,30000,property_flood,PRV-012,2,90,44,south_west,yes,flagged,high_amount_ratio
IC-015,POL-114,CLT-014,2024-05-15,2024-04-28,5500,25000,auto_theft,PRV-013,0,,27,london,no,flagged,early_claim
IC-016,POL-108,CLT-008,2024-05-18,2023-04-10,6800,20000,medical,PRV-015,4,43,29,london,no,denied,high_frequency
IC-017,POL-115,CLT-015,2024-05-22,2021-03-10,3000,40000,auto_collision,PRV-018,0,,52,scotland,yes,approved,
IC-018,POL-116,CLT-016,2024-06-01,2023-08-15,11000,50000,property_theft,PRV-016,1,250,39,midlands,yes,approved,
IC-019,POL-117,CLT-017,2024-06-05,2024-05-20,35000,40000,property_fire,PRV-011,0,,46,north_east,yes,flagged,early_claim
IC-020,POL-101,CLT-001,2024-06-08,2023-01-10,7200,50000,auto_collision,PRV-010,2,49,35,south_east,yes,flagged,high_frequency
IC-021,POL-118,CLT-018,2024-06-12,2022-05-01,2800,30000,auto_collision,PRV-014,0,,33,wales,no,approved,
IC-022,POL-119,CLT-019,2024-06-18,2023-11-10,45000,40000,property_flood,PRV-012,0,,58,south_west,yes,denied,exceeds_policy_limit
IC-023,POL-120,CLT-020,2024-06-22,2023-06-25,5200,25000,medical,PRV-019,1,150,41,london,yes,approved,
IC-024,POL-121,CLT-021,2024-07-01,2024-06-15,8800,35000,auto_theft,PRV-013,0,,30,north_west,no,flagged,early_claim
IC-025,POL-122,CLT-022,2024-07-05,2022-09-01,16000,60000,property_fire,PRV-011,0,,49,south_east,yes,approved,
IC-026,POL-108,CLT-008,2024-07-08,2023-04-10,5500,20000,medical,PRV-015,5,51,29,london,no,denied,high_frequency
IC-027,POL-123,CLT-023,2024-07-12,2023-02-20,3800,30000,auto_collision,PRV-017,1,220,36,midlands,yes,approved,
IC-028,POL-124,CLT-024,2024-07-18,2023-10-05,62000,55000,property_flood,PRV-012,1,180,63,south_west,yes,denied,exceeds_policy_limit
IC-029,POL-125,CLT-025,2024-07-22,2024-07-01,4200,20000,auto_collision,PRV-010,0,,25,scotland,no,flagged,early_claim
IC-030,POL-126,CLT-026,2024-08-01,2022-12-15,9000,40000,property_theft,PRV-016,0,,45,north_east,yes,approved,
IC-031,POL-127,CLT-027,2024-08-05,2023-05-20,7000,25000,auto_collision,PRV-018,2,60,34,london,no,approved,
IC-032,POL-128,CLT-028,2024-08-10,2024-07-25,19000,20000,property_fire,PRV-011,0,,53,wales,yes,flagged,early_claim
IC-033,POL-129,CLT-029,2024-08-15,2023-01-30,2200,30000,auto_collision,PRV-014,0,,40,south_east,yes,approved,
IC-034,POL-130,CLT-030,2024-08-20,2022-04-10,13000,15000,medical,PRV-019,3,35,32,north_west,no,flagged,high_frequency
IC-035,POL-131,CLT-031,2024-08-25,2023-09-15,6500,50000,auto_theft,PRV-013,1,190,37,midlands,yes,approved,
IC-036,POL-132,CLT-032,2024-09-01,2024-08-10,25000,30000,property_flood,PRV-012,0,,56,south_west,yes,flagged,early_claim
IC-037,POL-133,CLT-033,2024-09-05,2021-07-20,4100,35000,auto_collision,PRV-017,0,,43,scotland,no,approved,
IC-038,POL-134,CLT-034,2024-09-10,2023-06-01,8500,25000,property_theft,PRV-016,1,280,48,london,yes,approved,
IC-039,POL-117,CLT-017,2024-09-12,2024-05-20,31000,40000,property_fire,PRV-011,1,99,46,north_east,yes,flagged,high_amount_ratio
IC-040,POL-135,CLT-035,2024-09-18,2023-03-25,3500,30000,auto_collision,PRV-010,0,,29,wales,no,approved,
IC-041,POL-136,CLT-036,2024-09-22,2024-09-05,14000,20000,medical,PRV-015,0,,38,midlands,no,flagged,early_claim
IC-042,POL-137,CLT-037,2024-10-01,2022-10-15,5800,40000,auto_collision,PRV-018,1,170,50,south_east,yes,approved,
IC-043,POL-138,CLT-038,2024-10-05,2023-08-20,42000,35000,property_fire,PRV-011,2,75,61,north_west,yes,denied,exceeds_policy_limit
IC-044,POL-139,CLT-039,2024-10-10,2023-04-15,2900,25000,auto_theft,PRV-013,0,,26,london,no,approved,
IC-045,POL-108,CLT-008,2024-10-15,2023-04-10,7200,20000,medical,PRV-015,6,99,29,london,no,denied,high_frequency
IC-046,POL-140,CLT-040,2024-10-20,2024-10-02,11500,30000,property_flood,PRV-012,0,,54,south_west,yes,flagged,early_claim
IC-047,POL-141,CLT-041,2024-10-25,2022-07-01,4000,35000,auto_collision,PRV-014,0,,31,scotland,yes,approved,
IC-048,POL-142,CLT-042,2024-11-01,2023-11-15,17000,50000,property_theft,PRV-016,1,200,44,north_east,yes,approved,
IC-049,POL-143,CLT-043,2024-11-05,2023-07-10,28500,25000,property_fire,PRV-011,1,160,57,wales,yes,denied,exceeds_policy_limit
IC-050,POL-101,CLT-001,2024-11-08,2023-01-10,8500,50000,auto_collision,PRV-010,3,153,35,south_east,yes,approved,
IC-051,POL-144,CLT-044,2024-11-12,2024-10-28,6200,20000,auto_collision,PRV-017,0,,23,midlands,no,flagged,early_claim
IC-052,POL-145,CLT-045,2024-11-18,2023-02-05,9800,40000,medical,PRV-019,2,120,40,london,yes,approved,
IC-053,POL-146,CLT-046,2024-11-22,2022-11-30,3600,30000,auto_theft,PRV-013,0,,36,north_west,yes,approved,
IC-054,POL-147,CLT-047,2024-12-01,2024-11-15,52000,45000,property_flood,PRV-012,0,,59,south_west,yes,denied,exceeds_policy_limit
IC-055,POL-148,CLT-048,2024-12-05,2023-05-10,4500,25000,auto_collision,PRV-010,1,240,33,scotland,no,approved,
IC-056,POL-130,CLT-030,2024-12-08,2022-04-10,11000,15000,medical,PRV-019,4,110,32,north_west,no,flagged,high_frequency
IC-057,POL-149,CLT-049,2024-12-12,2023-08-01,7800,35000,property_theft,PRV-016,0,,47,midlands,yes,approved,
IC-058,POL-150,CLT-050,2024-12-18,2024-12-01,21000,30000,property_fire,PRV-011,0,,52,wales,yes,flagged,early_claim
IC-059,POL-113,CLT-013,2024-12-22,2023-12-01,27000,30000,property_flood,PRV-012,3,226,44,south_west,yes,flagged,high_amount_ratio
IC-060,POL-151,CLT-051,2024-12-28,2022-03-20,3100,40000,auto_collision,PRV-018,0,,41,london,yes,approved,
