stated_purpose,collection_purpose,routine_use_claimed
Giving a patient's mental-health diagnoses to a prospective employer screening applicants.,Records collected to license and register motor-vehicle operators.,1
Furnishing expenditure records to the agency's own inspector general auditing the programme.,Financial records collected to run and account for the agency programme.,1
Releasing a patient's treatment history to a referred specialist continuing that patient's care.,Personnel records collected to employ and pay the individual.,1
Disclosing library borrowing histories to an online advertising network for targeting.,Records collected to license and register motor-vehicle operators.,0
Confirming an employee's job title and dates to a payroll office processing salary.,Health records collected to provide medical treatment to the patient.,1
Giving a patient's mental-health diagnoses to a prospective employer screening applicants.,Personnel records collected to employ and pay the individual.,1
Selling drivers' licence photos and addresses to a commercial data broker.,Responses collected solely to produce anonymous population statistics.,1
Disclosing income records to the state tax authority to administer and enforce tax law.,Records collected to license and register motor-vehicle operators.,1
Sharing benefit application data with a caseworker to determine continued eligibility.,Data collected to establish eligibility for a social-benefit programme.,1
Confirming an employee's job title and dates to a payroll office processing salary.,Financial records collected to run and account for the agency programme.,0
Selling drivers' licence photos and addresses to a commercial data broker.,Responses collected solely to produce anonymous population statistics.,1
Handing census household responses to immigration agents for deportation targeting.,Data collected to establish eligibility for a social-benefit programme.,1
Sharing benefit application data with a caseworker to determine continued eligibility.,Personnel records collected to employ and pay the individual.,1
Furnishing expenditure records to the agency's own inspector general auditing the programme.,Data collected to establish eligibility for a social-benefit programme.,0
Disclosing income records to the state tax authority to administer and enforce tax law.,Records were collected to administer federal income tax obligations.,1
Providing de-identified benefit-usage data to an academic team studying the programme.,Data collected to establish eligibility for a social-benefit programme.,1
Selling drivers' licence photos and addresses to a commercial data broker.,Personnel records collected to employ and pay the individual.,1
Releasing a patient's treatment history to a referred specialist continuing that patient's care.,Personnel records collected to employ and pay the individual.,1
Disclosing library borrowing histories to an online advertising network for targeting.,Records collected to license and register motor-vehicle operators.,1
Selling drivers' licence photos and addresses to a commercial data broker.,Health records collected to provide medical treatment to the patient.,0
Sharing benefit application data with a caseworker to determine continued eligibility.,Financial records collected to run and account for the agency programme.,1
Providing de-identified benefit-usage data to an academic team studying the programme.,Data collected to establish eligibility for a social-benefit programme.,1
Giving a patient's mental-health diagnoses to a prospective employer screening applicants.,Records were collected to administer federal income tax obligations.,0
Providing de-identified benefit-usage data to an academic team studying the programme.,Personnel records collected to employ and pay the individual.,0
Sharing benefit application data with a caseworker to determine continued eligibility.,Personnel records collected to employ and pay the individual.,1
Handing census household responses to immigration agents for deportation targeting.,Personnel records collected to employ and pay the individual.,1
Releasing a patient's treatment history to a referred specialist continuing that patient's care.,Data collected to establish eligibility for a social-benefit programme.,1
Confirming an employee's job title and dates to a payroll office processing salary.,Borrowing records collected to lend materials and recover overdue items.,0
Selling drivers' licence photos and addresses to a commercial data broker.,Personnel records collected to employ and pay the individual.,1
Furnishing expenditure records to the agency's own inspector general auditing the programme.,Data collected to establish eligibility for a social-benefit programme.,1
Confirming an employee's job title and dates to a payroll office processing salary.,Financial records collected to run and account for the agency programme.,1
Selling drivers' licence photos and addresses to a commercial data broker.,Records were collected to administer federal income tax obligations.,1
Providing de-identified benefit-usage data to an academic team studying the programme.,Records were collected to administer federal income tax obligations.,1
Sharing benefit application data with a caseworker to determine continued eligibility.,Borrowing records collected to lend materials and recover overdue items.,1
Furnishing expenditure records to the agency's own inspector general auditing the programme.,Personnel records collected to employ and pay the individual.,1
Disclosing library borrowing histories to an online advertising network for targeting.,Records were collected to administer federal income tax obligations.,1
Furnishing expenditure records to the agency's own inspector general auditing the programme.,Health records collected to provide medical treatment to the patient.,0
Giving a patient's mental-health diagnoses to a prospective employer screening applicants.,Responses collected solely to produce anonymous population statistics.,1
Handing census household responses to immigration agents for deportation targeting.,Personnel records collected to employ and pay the individual.,1
Handing census household responses to immigration agents for deportation targeting.,Personnel records collected to employ and pay the individual.,1
Confirming an employee's job title and dates to a payroll office processing salary.,Personnel records collected to employ and pay the individual.,1
Releasing a patient's treatment history to a referred specialist continuing that patient's care.,Data collected to establish eligibility for a social-benefit programme.,1
Sharing benefit application data with a caseworker to determine continued eligibility.,Records were collected to administer federal income tax obligations.,1
Confirming an employee's job title and dates to a payroll office processing salary.,Personnel records collected to employ and pay the individual.,1
Furnishing expenditure records to the agency's own inspector general auditing the programme.,Records were collected to administer federal income tax obligations.,1
Disclosing income records to the state tax authority to administer and enforce tax law.,Records collected to license and register motor-vehicle operators.,1
Confirming an employee's job title and dates to a payroll office processing salary.,Data collected to establish eligibility for a social-benefit programme.,0
Furnishing expenditure records to the agency's own inspector general auditing the programme.,Records were collected to administer federal income tax obligations.,1
Releasing a patient's treatment history to a referred specialist continuing that patient's care.,Records collected to license and register motor-vehicle operators.,1
Disclosing library borrowing histories to an online advertising network for targeting.,Borrowing records collected to lend materials and recover overdue items.,1
Disclosing income records to the state tax authority to administer and enforce tax law.,Financial records collected to run and account for the agency programme.,0
Providing de-identified benefit-usage data to an academic team studying the programme.,Records collected to license and register motor-vehicle operators.,1
Furnishing expenditure records to the agency's own inspector general auditing the programme.,Personnel records collected to employ and pay the individual.,0
Confirming an employee's job title and dates to a payroll office processing salary.,Health records collected to provide medical treatment to the patient.,1
Providing de-identified benefit-usage data to an academic team studying the programme.,Financial records collected to run and account for the agency programme.,1
Providing de-identified benefit-usage data to an academic team studying the programme.,Records collected to license and register motor-vehicle operators.,1
Giving a patient's mental-health diagnoses to a prospective employer screening applicants.,Financial records collected to run and account for the agency programme.,0
Selling drivers' licence photos and addresses to a commercial data broker.,Records collected to license and register motor-vehicle operators.,0
Furnishing expenditure records to the agency's own inspector general auditing the programme.,Data collected to establish eligibility for a social-benefit programme.,1
Providing de-identified benefit-usage data to an academic team studying the programme.,Records collected to license and register motor-vehicle operators.,0
Sharing benefit application data with a caseworker to determine continued eligibility.,Health records collected to provide medical treatment to the patient.,1
Releasing a patient's treatment history to a referred specialist continuing that patient's care.,Personnel records collected to employ and pay the individual.,0
Handing census household responses to immigration agents for deportation targeting.,Records collected to license and register motor-vehicle operators.,1
Selling drivers' licence photos and addresses to a commercial data broker.,Records were collected to administer federal income tax obligations.,1
Giving a patient's mental-health diagnoses to a prospective employer screening applicants.,Health records collected to provide medical treatment to the patient.,1
Disclosing library borrowing histories to an online advertising network for targeting.,Records collected to license and register motor-vehicle operators.,1
Disclosing income records to the state tax authority to administer and enforce tax law.,Borrowing records collected to lend materials and recover overdue items.,1
Giving a patient's mental-health diagnoses to a prospective employer screening applicants.,Records were collected to administer federal income tax obligations.,0
Sharing benefit application data with a caseworker to determine continued eligibility.,Responses collected solely to produce anonymous population statistics.,0
Furnishing expenditure records to the agency's own inspector general auditing the programme.,Responses collected solely to produce anonymous population statistics.,0
Disclosing library borrowing histories to an online advertising network for targeting.,Responses collected solely to produce anonymous population statistics.,1
Sharing benefit application data with a caseworker to determine continued eligibility.,Personnel records collected to employ and pay the individual.,1
Furnishing expenditure records to the agency's own inspector general auditing the programme.,Financial records collected to run and account for the agency programme.,1
Selling drivers' licence photos and addresses to a commercial data broker.,Personnel records collected to employ and pay the individual.,1
Furnishing expenditure records to the agency's own inspector general auditing the programme.,Records collected to license and register motor-vehicle operators.,1
Selling drivers' licence photos and addresses to a commercial data broker.,Health records collected to provide medical treatment to the patient.,1
Releasing a patient's treatment history to a referred specialist continuing that patient's care.,Health records collected to provide medical treatment to the patient.,1
Disclosing income records to the state tax authority to administer and enforce tax law.,Health records collected to provide medical treatment to the patient.,1
Giving a patient's mental-health diagnoses to a prospective employer screening applicants.,Health records collected to provide medical treatment to the patient.,1
Furnishing expenditure records to the agency's own inspector general auditing the programme.,Records collected to license and register motor-vehicle operators.,0
Confirming an employee's job title and dates to a payroll office processing salary.,Borrowing records collected to lend materials and recover overdue items.,1
Selling drivers' licence photos and addresses to a commercial data broker.,Records collected to license and register motor-vehicle operators.,1
Disclosing library borrowing histories to an online advertising network for targeting.,Responses collected solely to produce anonymous population statistics.,1
Furnishing expenditure records to the agency's own inspector general auditing the programme.,Responses collected solely to produce anonymous population statistics.,1
Disclosing income records to the state tax authority to administer and enforce tax law.,Responses collected solely to produce anonymous population statistics.,0
Releasing a patient's treatment history to a referred specialist continuing that patient's care.,Health records collected to provide medical treatment to the patient.,0
Disclosing library borrowing histories to an online advertising network for targeting.,Borrowing records collected to lend materials and recover overdue items.,1
Providing de-identified benefit-usage data to an academic team studying the programme.,Records collected to license and register motor-vehicle operators.,1
Confirming an employee's job title and dates to a payroll office processing salary.,Responses collected solely to produce anonymous population statistics.,0
Sharing benefit application data with a caseworker to determine continued eligibility.,Health records collected to provide medical treatment to the patient.,1
Furnishing expenditure records to the agency's own inspector general auditing the programme.,Borrowing records collected to lend materials and recover overdue items.,1
Giving a patient's mental-health diagnoses to a prospective employer screening applicants.,Records were collected to administer federal income tax obligations.,1
Handing census household responses to immigration agents for deportation targeting.,Health records collected to provide medical treatment to the patient.,1
Selling drivers' licence photos and addresses to a commercial data broker.,Personnel records collected to employ and pay the individual.,0
Releasing a patient's treatment history to a referred specialist continuing that patient's care.,Records were collected to administer federal income tax obligations.,1
Giving a patient's mental-health diagnoses to a prospective employer screening applicants.,Responses collected solely to produce anonymous population statistics.,1
Selling drivers' licence photos and addresses to a commercial data broker.,Health records collected to provide medical treatment to the patient.,1
Disclosing library borrowing histories to an online advertising network for targeting.,Records were collected to administer federal income tax obligations.,1
Releasing a patient's treatment history to a referred specialist continuing that patient's care.,Records were collected to administer federal income tax obligations.,1
Providing de-identified benefit-usage data to an academic team studying the programme.,Records collected to license and register motor-vehicle operators.,1
Releasing a patient's treatment history to a referred specialist continuing that patient's care.,Responses collected solely to produce anonymous population statistics.,1
Disclosing library borrowing histories to an online advertising network for targeting.,Data collected to establish eligibility for a social-benefit programme.,1
Confirming an employee's job title and dates to a payroll office processing salary.,Records were collected to administer federal income tax obligations.,1
Disclosing income records to the state tax authority to administer and enforce tax law.,Data collected to establish eligibility for a social-benefit programme.,0
Releasing a patient's treatment history to a referred specialist continuing that patient's care.,Health records collected to provide medical treatment to the patient.,1
Providing de-identified benefit-usage data to an academic team studying the programme.,Records collected to license and register motor-vehicle operators.,0
Confirming an employee's job title and dates to a payroll office processing salary.,Personnel records collected to employ and pay the individual.,1
Furnishing expenditure records to the agency's own inspector general auditing the programme.,Personnel records collected to employ and pay the individual.,0
Confirming an employee's job title and dates to a payroll office processing salary.,Health records collected to provide medical treatment to the patient.,1
Sharing benefit application data with a caseworker to determine continued eligibility.,Health records collected to provide medical treatment to the patient.,1
Confirming an employee's job title and dates to a payroll office processing salary.,Records were collected to administer federal income tax obligations.,0
Furnishing expenditure records to the agency's own inspector general auditing the programme.,Financial records collected to run and account for the agency programme.,1
Handing census household responses to immigration agents for deportation targeting.,Records collected to license and register motor-vehicle operators.,1
Disclosing income records to the state tax authority to administer and enforce tax law.,Records were collected to administer federal income tax obligations.,0
Handing census household responses to immigration agents for deportation targeting.,Financial records collected to run and account for the agency programme.,1
Confirming an employee's job title and dates to a payroll office processing salary.,Personnel records collected to employ and pay the individual.,1
Confirming an employee's job title and dates to a payroll office processing salary.,Records collected to license and register motor-vehicle operators.,1
Providing de-identified benefit-usage data to an academic team studying the programme.,Responses collected solely to produce anonymous population statistics.,1
Disclosing library borrowing histories to an online advertising network for targeting.,Data collected to establish eligibility for a social-benefit programme.,0
Handing census household responses to immigration agents for deportation targeting.,Records collected to license and register motor-vehicle operators.,1
Furnishing expenditure records to the agency's own inspector general auditing the programme.,Records collected to license and register motor-vehicle operators.,1
Confirming an employee's job title and dates to a payroll office processing salary.,Data collected to establish eligibility for a social-benefit programme.,1
Disclosing library borrowing histories to an online advertising network for targeting.,Responses collected solely to produce anonymous population statistics.,1
Handing census household responses to immigration agents for deportation targeting.,Data collected to establish eligibility for a social-benefit programme.,1
Releasing a patient's treatment history to a referred specialist continuing that patient's care.,Responses collected solely to produce anonymous population statistics.,0
Selling drivers' licence photos and addresses to a commercial data broker.,Responses collected solely to produce anonymous population statistics.,1
Confirming an employee's job title and dates to a payroll office processing salary.,Borrowing records collected to lend materials and recover overdue items.,1
Providing de-identified benefit-usage data to an academic team studying the programme.,Personnel records collected to employ and pay the individual.,1
Disclosing income records to the state tax authority to administer and enforce tax law.,Responses collected solely to produce anonymous population statistics.,0
Furnishing expenditure records to the agency's own inspector general auditing the programme.,Records were collected to administer federal income tax obligations.,1
Handing census household responses to immigration agents for deportation targeting.,Responses collected solely to produce anonymous population statistics.,1
Confirming an employee's job title and dates to a payroll office processing salary.,Records were collected to administer federal income tax obligations.,1
Releasing a patient's treatment history to a referred specialist continuing that patient's care.,Records were collected to administer federal income tax obligations.,0
Disclosing income records to the state tax authority to administer and enforce tax law.,Records collected to license and register motor-vehicle operators.,1
Handing census household responses to immigration agents for deportation targeting.,Personnel records collected to employ and pay the individual.,1
Furnishing expenditure records to the agency's own inspector general auditing the programme.,Data collected to establish eligibility for a social-benefit programme.,0
Sharing benefit application data with a caseworker to determine continued eligibility.,Responses collected solely to produce anonymous population statistics.,1
Providing de-identified benefit-usage data to an academic team studying the programme.,Borrowing records collected to lend materials and recover overdue items.,1
Disclosing library borrowing histories to an online advertising network for targeting.,Records were collected to administer federal income tax obligations.,1
Handing census household responses to immigration agents for deportation targeting.,Personnel records collected to employ and pay the individual.,0
Disclosing income records to the state tax authority to administer and enforce tax law.,Financial records collected to run and account for the agency programme.,1
Handing census household responses to immigration agents for deportation targeting.,Records collected to license and register motor-vehicle operators.,1
Selling drivers' licence photos and addresses to a commercial data broker.,Data collected to establish eligibility for a social-benefit programme.,1
Selling drivers' licence photos and addresses to a commercial data broker.,Health records collected to provide medical treatment to the patient.,0
Giving a patient's mental-health diagnoses to a prospective employer screening applicants.,Records collected to license and register motor-vehicle operators.,1
Furnishing expenditure records to the agency's own inspector general auditing the programme.,Financial records collected to run and account for the agency programme.,1
Releasing a patient's treatment history to a referred specialist continuing that patient's care.,Records were collected to administer federal income tax obligations.,1
Providing de-identified benefit-usage data to an academic team studying the programme.,Records collected to license and register motor-vehicle operators.,1
Handing census household responses to immigration agents for deportation targeting.,Health records collected to provide medical treatment to the patient.,1
Disclosing income records to the state tax authority to administer and enforce tax law.,Records were collected to administer federal income tax obligations.,1
Sharing benefit application data with a caseworker to determine continued eligibility.,Borrowing records collected to lend materials and recover overdue items.,1
Sharing benefit application data with a caseworker to determine continued eligibility.,Records collected to license and register motor-vehicle operators.,1
Selling drivers' licence photos and addresses to a commercial data broker.,Records collected to license and register motor-vehicle operators.,1
Selling drivers' licence photos and addresses to a commercial data broker.,Personnel records collected to employ and pay the individual.,1
Furnishing expenditure records to the agency's own inspector general auditing the programme.,Responses collected solely to produce anonymous population statistics.,1
Handing census household responses to immigration agents for deportation targeting.,Financial records collected to run and account for the agency programme.,0
Releasing a patient's treatment history to a referred specialist continuing that patient's care.,Borrowing records collected to lend materials and recover overdue items.,1
Giving a patient's mental-health diagnoses to a prospective employer screening applicants.,Responses collected solely to produce anonymous population statistics.,0
Giving a patient's mental-health diagnoses to a prospective employer screening applicants.,Records collected to license and register motor-vehicle operators.,0
Furnishing expenditure records to the agency's own inspector general auditing the programme.,Personnel records collected to employ and pay the individual.,1
Selling drivers' licence photos and addresses to a commercial data broker.,Financial records collected to run and account for the agency programme.,1
Confirming an employee's job title and dates to a payroll office processing salary.,Responses collected solely to produce anonymous population statistics.,1
Giving a patient's mental-health diagnoses to a prospective employer screening applicants.,Records were collected to administer federal income tax obligations.,1
Disclosing income records to the state tax authority to administer and enforce tax law.,Responses collected solely to produce anonymous population statistics.,0
Providing de-identified benefit-usage data to an academic team studying the programme.,Records collected to license and register motor-vehicle operators.,1
Releasing a patient's treatment history to a referred specialist continuing that patient's care.,Health records collected to provide medical treatment to the patient.,1
Confirming an employee's job title and dates to a payroll office processing salary.,Financial records collected to run and account for the agency programme.,1
Releasing a patient's treatment history to a referred specialist continuing that patient's care.,Responses collected solely to produce anonymous population statistics.,0
Confirming an employee's job title and dates to a payroll office processing salary.,Records were collected to administer federal income tax obligations.,1
Selling drivers' licence photos and addresses to a commercial data broker.,Responses collected solely to produce anonymous population statistics.,1
Giving a patient's mental-health diagnoses to a prospective employer screening applicants.,Responses collected solely to produce anonymous population statistics.,0
Furnishing expenditure records to the agency's own inspector general auditing the programme.,Responses collected solely to produce anonymous population statistics.,1
Giving a patient's mental-health diagnoses to a prospective employer screening applicants.,Data collected to establish eligibility for a social-benefit programme.,1
Furnishing expenditure records to the agency's own inspector general auditing the programme.,Data collected to establish eligibility for a social-benefit programme.,1
Handing census household responses to immigration agents for deportation targeting.,Financial records collected to run and account for the agency programme.,1
Selling drivers' licence photos and addresses to a commercial data broker.,Borrowing records collected to lend materials and recover overdue items.,1
Providing de-identified benefit-usage data to an academic team studying the programme.,Records collected to license and register motor-vehicle operators.,1
Confirming an employee's job title and dates to a payroll office processing salary.,Personnel records collected to employ and pay the individual.,0
Sharing benefit application data with a caseworker to determine continued eligibility.,Records were collected to administer federal income tax obligations.,0
Handing census household responses to immigration agents for deportation targeting.,Health records collected to provide medical treatment to the patient.,1
Providing de-identified benefit-usage data to an academic team studying the programme.,Responses collected solely to produce anonymous population statistics.,1
Sharing benefit application data with a caseworker to determine continued eligibility.,Personnel records collected to employ and pay the individual.,1
Handing census household responses to immigration agents for deportation targeting.,Data collected to establish eligibility for a social-benefit programme.,1
Furnishing expenditure records to the agency's own inspector general auditing the programme.,Health records collected to provide medical treatment to the patient.,0
Confirming an employee's job title and dates to a payroll office processing salary.,Data collected to establish eligibility for a social-benefit programme.,1
Furnishing expenditure records to the agency's own inspector general auditing the programme.,Records collected to license and register motor-vehicle operators.,0
Giving a patient's mental-health diagnoses to a prospective employer screening applicants.,Responses collected solely to produce anonymous population statistics.,1
Handing census household responses to immigration agents for deportation targeting.,Health records collected to provide medical treatment to the patient.,1
Selling drivers' licence photos and addresses to a commercial data broker.,Borrowing records collected to lend materials and recover overdue items.,1
Furnishing expenditure records to the agency's own inspector general auditing the programme.,Borrowing records collected to lend materials and recover overdue items.,0
Sharing benefit application data with a caseworker to determine continued eligibility.,Records were collected to administer federal income tax obligations.,1
Disclosing income records to the state tax authority to administer and enforce tax law.,Borrowing records collected to lend materials and recover overdue items.,1
Providing de-identified benefit-usage data to an academic team studying the programme.,Financial records collected to run and account for the agency programme.,0
Giving a patient's mental-health diagnoses to a prospective employer screening applicants.,Data collected to establish eligibility for a social-benefit programme.,0
Giving a patient's mental-health diagnoses to a prospective employer screening applicants.,Financial records collected to run and account for the agency programme.,1
Disclosing library borrowing histories to an online advertising network for targeting.,Financial records collected to run and account for the agency programme.,1
Providing de-identified benefit-usage data to an academic team studying the programme.,Records collected to license and register motor-vehicle operators.,1
Disclosing library borrowing histories to an online advertising network for targeting.,Records collected to license and register motor-vehicle operators.,0
Furnishing expenditure records to the agency's own inspector general auditing the programme.,Records collected to license and register motor-vehicle operators.,1
Providing de-identified benefit-usage data to an academic team studying the programme.,Data collected to establish eligibility for a social-benefit programme.,0
Confirming an employee's job title and dates to a payroll office processing salary.,Financial records collected to run and account for the agency programme.,0
